ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
1061,Karnataka,Mysore,Kondapur,Penthouse,3,1311,105.76,8067.12,2019,Fully Furnished,1.0,9,5,,2,7,1,None,All,South,Individual,Under Construction
1062,Tamil Nadu,Chennai,Kondapur,Apartment,1,438,22.37,5107.31,1999,Unfurnished,16.0,25,25,6.0,1,3,1,Guard,Pool,North-East,Builder,Sold
1063,Gujarat,Surat,Gachibowli,Apartment,3,1226,65.64,5354.0,2015,Fully Furnished,10.0,12,9,0.0,6,4,3,Guard,Gym,East,Builder,Under Construction
1064,Gujarat,Vadodara,Jubilee Hills,Apartment,3,1445,154.11,10665.05,2022,Fully Furnished,9.0,11,2,6.0,6,7,0,None,None,North,Individual,Available
1065,Rajasthan,Jodhpur,Whitefield,Villa,3,1465,119.4,8150.17,1991,Semi-Furnished,13.0,15,33,1.0,1,4,0,Gated,None,North-East,Agent,Under Construction
1066,Telangana,Hyderabad,Banjara Hills,Apartment,3,1208,186.68,15453.64,2019,Semi-Furnished,10.0,13,5,5.0,7,6,0,Guard,Pool,North-East,Builder,Under Construction
1067,Delhi,New Delhi,Gachibowli,Villa,3,1417,87.67,6187.01,1994,Unfurnished,1.0,9,30,7.0,6,6,0,None,All,East,Individual,Under Construction
1068,West Bengal,Siliguri,Gomti Nagar,House,2,780,43.6,5589.74,2014,Unfurnished,13.0,22,10,4.0,2,6,0,None,Gym+Pool,South,Builder,Under Construction
1069,Maharashtra,Nagpur,Koramangala,Apartment,3,1375,100.75,7327.27,2006,Semi-Furnished,12.0,18,18,9.0,4,1,0,Gated,Clubhouse,North-East,Builder,Available
1070,Tamil Nadu,Chennai,Banjara Hills,Apartment,1,300,31.36,10453.33,2015,Semi-Furnished,0.0,4,9,6.0,5,2,1,None,Gym+Pool,South-West,Builder,Sold
1071,Delhi,Rohini,Gomti Nagar,Apartment,3,1414,75.71,5354.31,1991,Fully Furnished,6.0,7,33,2.0,3,9,2,None,None,North-East,Builder,Available
1072,Maharashtra,Pune,Koramangala,Villa,2,811,116.24,14332.92,2012,Unfurnished,17.0,19,12,2.0,7,9,0,None,All,North,Individual,Available
1073,Tamil Nadu,Coimbatore,Andheri,Apartment,1,458,31.48,6873.36,2021,Fully Furnished,13.0,17,3,1.0,1,2,3,CCTV,Gym,North,Individual,Available
1074,Telangana,Hyderabad,Banjara Hills,House,3,1474,149.8,10162.82,2016,Semi-Furnished,10.0,14,8,5.0,7,3,3,Gated,Pool,North,Builder,Sold
1075,West Bengal,Siliguri,Gomti Nagar,Apartment,1,451,31.79,7048.78,1997,Unfurnished,9.0,10,27,4.0,0,5,0,None,Gym,South,Individual,Available
1076,Delhi,Rohini,Jubilee Hills,Apartment,5,2218,139.02,6267.81,2004,Unfurnished,,13,20,9.0,7,9,2,Gated,All,East,Individual,Under Construction
1077,Gujarat,Vadodara,Andheri,Penthouse,3,1285,102.44,7971.98,1998,Unfurnished,24.0,32,26,5.0,3,2,3,CCTV,Gym,West,Individual,Available
1078,Karnataka,Hubli,HSR Layout,Villa,4,1523,167.27,10982.93,2021,Semi-Furnished,13.0,22,3,6.0,6,8,2,Gated,,North,Individual,Sold
1079,Telangana,Warangal,Salt Lake,Studio,3,1461,110.55,7566.74,2015,,17.0,21,9,1.0,6,1,2,Gated,Clubhouse,North-East,Agent,Under Construction
1080,Delhi,New Delhi,Koramangala,Penthouse,5,2260,343.81,15212.83,2022,Unfurnished,,27,2,8.0,4,6,2,Gated,Gym,South-West,Builder,Under Construction
1081,Maharashtra,Nagpur,Salt Lake,Apartment,3,1003,73.53,7331.01,2000,Semi-Furnished,20.0,22,24,7.0,7,6,2,Guard,Gym+Pool,North,Agent,Sold
1082,Delhi,Rohini,Indiranagar,Penthouse,4,1885,191.1,10137.93,2008,Unfurnished,23.0,27,16,8.0,0,1,3,CCTV,Pool,South,Agent,Available
1083,West Bengal,Kolkata,Gachibowli,Villa,2,926,90.09,9728.94,1994,,,18,30,,6,7,2,CCTV,Gym,North-East,Individual,Sold
1084,Telangana,Karimnagar,Koramangala,House,2,925,41.51,4487.57,2011,,3.0,9,13,9.0,6,3,0,None,Gym,North-East,Builder,Available
1085,Maharashtra,Mumbai,Satellite,Studio,3,1140,171.88,15077.19,1999,Fully Furnished,16.0,19,25,5.0,5,4,3,Gated,None,North-East,Builder,Sold
1086,Rajasthan,Udaipur,Powai,Villa,3,1560,138.68,8889.74,2005,Semi-Furnished,5.0,14,19,4.0,4,7,3,CCTV,Pool,West,Individual,Available
1087,Tamil Nadu,Coimbatore,Salt Lake,Villa,2,764,91.35,11956.81,2010,,6.0,15,14,5.0,1,1,0,None,None,North,Individual,Sold
1088,Karnataka,Mysore,Andheri,Penthouse,1,644,69.44,10782.61,2007,Unfurnished,14.0,23,17,4.0,3,1,0,Gated,Gym,North,Builder,Available
1089,Rajasthan,Jaipur,Koramangala,Penthouse,2,1051,55.98,5326.36,2018,Fully Furnished,2.0,3,6,4.0,1,2,2,None,All,West,Agent,Under Construction
1090,Karnataka,Bangalore,Electronic City,Penthouse,2,936,60.45,6458.33,2013,Fully Furnished,7.0,16,11,3.0,1,6,2,CCTV,All,East,Agent,Under Construction
1091,Maharashtra,Mumbai,Gomti Nagar,Apartment,5,2346,266.92,11377.66,1992,Unfurnished,4.0,13,32,7.0,1,2,3,Guard,All,West,Individual,Under Construction
1092,Rajasthan,Jaipur,Indiranagar,Penthouse,3,1276,63.75,4996.08,1990,Semi-Furnished,20.0,21,34,2.0,1,9,1,None,Gym+Pool,West,Builder,Available
1093,West Bengal,Howrah,Koramangala,Apartment,3,1287,50.08,3891.22,1996,Semi-Furnished,13.0,14,28,7.0,3,5,0,CCTV,All,North-East,Individual,Under Construction
1094,Maharashtra,Nagpur,Whitefield,Villa,4,1948,126.05,6470.74,1999,Fully Furnished,,23,25,2.0,7,6,3,Gated,All,South-West,Agent,Under Construction
1095,Tamil Nadu,Coimbatore,Kondapur,Apartment,3,1258,106.08,8432.43,2002,Semi-Furnished,24.0,25,22,0.0,1,3,1,Guard,Clubhouse,West,Individual,Available
1096,Delhi,New Delhi,Thane,Apartment,4,1916,177.2,9248.43,2008,Semi-Furnished,24.0,27,16,3.0,4,5,2,CCTV,None,South,Agent,Sold
1097,Karnataka,Mysore,Koramangala,Apartment,2,744,42.94,5771.51,2001,Unfurnished,16.0,24,23,4.0,2,5,2,Gated,None,North,Builder,Under Construction
1098,Maharashtra,Mumbai,Andheri,Apartment,3,1499,145.7,9719.81,2022,Semi-Furnished,18.0,24,2,3.0,0,7,1,CCTV,Clubhouse,,Builder,Available
1099,Gujarat,Vadodara,Powai,Apartment,4,1907,68.3,3581.54,1991,Unfurnished,21.0,23,33,2.0,4,8,3,None,Gym,West,Builder,Sold
1100,Rajasthan,Jodhpur,Gomti Nagar,House,4,1864,102.78,5513.95,2003,Semi-Furnished,13.0,22,21,5.0,3,2,2,Guard,Clubhouse,South,Individual,Available
1101,Delhi,Dwarka,Thane,Apartment,3,1270,147.81,11638.58,2014,Unfurnished,9.0,15,10,5.0,2,3,1,None,None,North,Individual,Available
1102,West Bengal,Howrah,Kondapur,Penthouse,2,883,43.15,4886.75,2017,Unfurnished,5.0,12,7,8.0,3,8,2,CCTV,All,South,Individual,Under Construction
1103,Karnataka,Mysore,Whitefield,Penthouse,3,1573,173.0,10998.09,2010,Semi-Furnished,12.0,18,14,8.0,5,5,0,None,,North-East,Agent,Available
1104,Gujarat,Ahmedabad,Banjara Hills,House,2,1018,113.8,11178.78,2006,Semi-Furnished,24.0,25,18,2.0,2,9,2,Gated,Pool,South,Individual,Available
1105,Karnataka,Mysore,Thane,Villa,2,965,87.62,9079.79,2009,Unfurnished,23.0,28,15,2.0,7,1,0,Guard,None,East,Builder,Available
1106,Maharashtra,Nagpur,Koramangala,Studio,2,978,114.46,11703.48,2022,Fully Furnished,3.0,5,2,3.0,7,4,0,CCTV,Clubhouse,North-East,Individual,Sold
1107,Rajasthan,Jodhpur,Thane,Apartment,2,898,67.2,7483.3,2012,Unfurnished,24.0,33,12,9.0,3,5,1,Guard,All,East,Individual,Under Construction
1108,West Bengal,Siliguri,Satellite,Villa,2,803,58.05,7229.14,2013,Unfurnished,23.0,25,11,7.0,2,7,0,Guard,All,East,Builder,Available
1109,Delhi,New Delhi,Andheri,Apartment,3,1563,252.54,16157.39,2014,Semi-Furnished,7.0,9,10,,7,5,2,CCTV,All,North,Agent,Available
1110,Telangana,Warangal,Powai,Villa,2,762,69.66,9141.73,1992,Unfurnished,20.0,24,32,0.0,4,7,0,CCTV,Clubhouse,East,Individual,Available
1111,Tamil Nadu,Coimbatore,Thane,Studio,3,1617,142.48,8811.38,1991,Semi-Furnished,24.0,28,33,5.0,7,7,3,CCTV,None,South-West,Builder,Available
1112,Delhi,Rohini,Salt Lake,House,3,1469,157.46,10718.86,2004,Semi-Furnished,19.0,23,20,5.0,6,5,1,Gated,All,West,Builder,Sold
1113,Rajasthan,Jodhpur,Salt Lake,Apartment,4,2026,105.81,5222.61,2016,Semi-Furnished,3.0,4,8,0.0,4,6,2,CCTV,Gym+Pool,East,Agent,Available
1114,Maharashtra,Nagpur,Salt Lake,Studio,3,1426,95.31,6683.73,2020,Semi-Furnished,8.0,14,4,3.0,6,3,3,Gated,All,West,Agent,Available
1115,West Bengal,Kolkata,Whitefield,Villa,3,1371,64.04,4671.04,2004,Semi-Furnished,,14,20,3.0,4,2,3,Guard,Pool,East,Individual,Available
1116,Tamil Nadu,Coimbatore,Gachibowli,Apartment,1,336,23.87,7104.17,1995,Semi-Furnished,5.0,14,29,7.0,5,8,1,None,Gym+Pool,West,Builder,Available
1117,Maharashtra,Nagpur,Banjara Hills,Villa,4,2005,194.77,9714.21,1990,Fully Furnished,20.0,28,34,6.0,0,2,3,None,None,South-West,Agent,Available
1118,Delhi,New Delhi,Salt Lake,Apartment,3,1411,188.91,13388.38,2001,Semi-Furnished,1.0,4,23,7.0,4,5,2,None,Gym,South-West,Individual,Available
1119,Maharashtra,Nagpur,Electronic City,House,3,1474,56.61,3840.57,2003,Semi-Furnished,17.0,21,21,0.0,6,4,0,Gated,Gym,West,Builder,Available
1120,Rajasthan,Jodhpur,Jubilee Hills,Villa,3,1479,154.61,10453.68,1998,Unfurnished,15.0,22,26,5.0,0,2,3,Gated,Gym,North,Agent,Under Construction
1121,Telangana,Karimnagar,Indiranagar,Apartment,4,2017,109.24,5415.96,2000,Fully Furnished,13.0,22,24,6.0,4,3,3,CCTV,None,South,Agent,Under Construction
1122,Telangana,Karimnagar,Powai,Apartment,4,1631,107.42,6586.14,2009,Unfurnished,16.0,21,15,8.0,6,2,3,Guard,Gym,South-West,Individual,Available
1123,Gujarat,Surat,Satellite,Apartment,3,1567,165.63,10569.88,2010,Fully Furnished,20.0,28,14,1.0,4,7,0,None,None,North-East,Individual,Under Construction
1124,Delhi,Rohini,Koramangala,Apartment,3,1182,71.48,6047.38,1990,Unfurnished,11.0,13,34,8.0,6,7,0,None,Gym+Pool,North,Agent,Under Construction
1125,Tamil Nadu,Madurai,Gachibowli,Apartment,5,2369,138.75,5856.9,2011,Semi-Furnished,11.0,20,13,4.0,1,7,0,Gated,Clubhouse,North,Individual,Available
1126,West Bengal,Howrah,Kondapur,Penthouse,2,981,48.71,4965.34,1995,Semi-Furnished,4.0,10,29,5.0,2,3,0,CCTV,Gym+Pool,East,Individual,Under Construction
1127,Maharashtra,Pune,Salt Lake,Apartment,2,871,107.06,12291.62,1993,Semi-Furnished,16.0,21,31,4.0,0,8,2,Guard,Clubhouse,South-West,Individual,Under Construction
1128,West Bengal,Siliguri,Powai,Villa,2,779,38.57,4951.22,1995,Fully Furnished,9.0,18,29,1.0,1,5,1,Gated,Pool,South,Individual,Sold
1129,West Bengal,Kolkata,Whitefield,House,4,1956,124.81,6380.88,2018,Semi-Furnished,16.0,24,6,5.0,7,2,3,Gated,None,North,Agent,Available
1130,West Bengal,Kolkata,HSR Layout,Studio,2,806,95.23,11815.14,1991,Fully Furnished,18.0,20,33,5.0,4,8,3,Gated,All,North,Agent,Available
1131,Gujarat,Ahmedabad,Powai,House,3,1109,48.9,4409.38,2015,Semi-Furnished,5.0,8,9,5.0,3,3,0,None,All,South-West,Individual,Available
1132,Rajasthan,Jaipur,Powai,Villa,1,387,17.28,4465.12,2000,Semi-Furnished,24.0,33,24,,7,1,3,None,Pool,West,Builder,Available
1133,Rajasthan,Jodhpur,Koramangala,House,3,1356,91.07,6716.08,2019,Fully Furnished,3.0,6,5,4.0,6,6,1,None,None,North-East,Individual,Available
1134,Tamil Nadu,Chennai,Kondapur,Apartment,4,1883,83.58,4438.66,1992,Fully Furnished,15.0,16,32,2.0,7,4,3,None,Pool,East,Individual,Under Construction
1135,Delhi,Rohini,Indiranagar,House,3,1450,137.85,9506.9,2021,,,26,3,4.0,1,4,3,Guard,Gym+Pool,North-East,Agent,Under Construction
1136,Maharashtra,Mumbai,Banjara Hills,Apartment,2,790,51.09,6467.09,2007,Fully Furnished,21.0,29,17,6.0,0,2,3,Gated,All,West,Individual,Available
1137,Telangana,Hyderabad,Banjara Hills,Apartment,3,1276,193.77,15185.74,2012,Semi-Furnished,7.0,10,12,4.0,2,2,1,None,Clubhouse,,Agent,Under Construction
1138,Telangana,Karimnagar,Salt Lake,Villa,2,927,61.82,6668.82,1998,Unfurnished,8.0,10,26,5.0,0,4,1,CCTV,Gym+Pool,North,Builder,Available
1139,Maharashtra,Nagpur,Satellite,Studio,4,1836,136.37,7427.56,2007,Unfurnished,4.0,12,17,7.0,5,5,0,CCTV,All,North-East,Individual,Available
1140,Karnataka,Mysore,Indiranagar,Apartment,2,1145,106.37,9289.96,1992,Semi-Furnished,3.0,10,32,3.0,0,7,0,Gated,Gym+Pool,West,Builder,Available
1141,Telangana,Hyderabad,Koramangala,House,3,1302,237.05,18206.61,1997,Semi-Furnished,12.0,21,27,,0,6,3,Guard,All,North,Individual,Sold
1142,Karnataka,Bangalore,Jubilee Hills,Apartment,1,648,105.2,16234.57,2009,Fully Furnished,22.0,28,15,2.0,7,8,3,Gated,Pool,South-West,Individual,Available
1143,Delhi,New Delhi,Salt Lake,Apartment,3,862,101.86,11816.71,2020,Semi-Furnished,10.0,18,4,2.0,6,4,0,Gated,Pool,East,Agent,Available
1144,Rajasthan,Udaipur,Koramangala,Penthouse,3,1666,142.37,8545.62,2011,Unfurnished,20.0,29,13,8.0,2,9,0,Gated,Gym+Pool,,Builder,Under Construction
1145,Telangana,Warangal,HSR Layout,Apartment,3,1527,77.97,5106.09,2017,Unfurnished,2.0,9,7,2.0,6,8,0,Gated,Pool,South,Builder,Available
1146,Rajasthan,Jodhpur,Gachibowli,House,2,1020,78.89,7734.31,2013,Semi-Furnished,16.0,23,11,6.0,6,1,3,CCTV,All,East,Individual,Under Construction
1147,West Bengal,Howrah,Salt Lake,House,1,459,28.02,6104.58,2019,Unfurnished,6.0,15,5,8.0,3,3,0,Guard,Gym,South-West,Individual,Available
1148,Gujarat,Vadodara,Gachibowli,House,2,996,81.49,8181.73,1992,Semi-Furnished,3.0,11,32,9.0,0,8,2,None,Clubhouse,West,Agent,Available
1149,Karnataka,Hubli,Kondapur,House,2,1002,88.19,8801.4,2017,Semi-Furnished,3.0,6,7,6.0,7,3,1,None,Gym,South,Builder,Available
1150,West Bengal,Howrah,Koramangala,Apartment,4,1899,205.4,10816.22,2021,Semi-Furnished,11.0,12,3,5.0,2,7,1,Guard,Clubhouse,North-East,Builder,Available
1151,Rajasthan,Udaipur,Gachibowli,Apartment,2,795,59.43,7475.47,2020,Fully Furnished,23.0,26,4,2.0,3,6,1,Guard,Pool,North-East,Individual,Under Construction
1152,Maharashtra,Mumbai,Electronic City,House,2,965,120.82,12520.21,2000,Fully Furnished,,15,24,8.0,6,6,2,Gated,Gym,South,Individual,Available
1153,Tamil Nadu,Chennai,Satellite,Apartment,2,880,85.87,9757.95,2016,Fully Furnished,17.0,19,8,3.0,0,4,3,Gated,Pool,South-West,Individual,Sold
1154,Karnataka,Hubli,Whitefield,House,5,2222,82.59,3716.92,2008,Unfurnished,2.0,7,16,9.0,5,3,0,None,Gym+Pool,West,Builder,Available
1155,Rajasthan,Jaipur,Gomti Nagar,Villa,4,2030,76.46,3766.5,2011,Semi-Furnished,2.0,3,13,5.0,4,9,1,CCTV,All,North,Agent,Under Construction
1156,West Bengal,Siliguri,Gachibowli,Apartment,4,1887,138.41,7334.92,2010,Unfurnished,18.0,27,14,8.0,2,8,0,Guard,Gym,South,Builder,Under Construction
1157,Delhi,New Delhi,Gachibowli,Apartment,3,1450,283.53,19553.79,1997,Fully Furnished,18.0,26,27,,1,4,2,CCTV,Gym+Pool,South-West,Individual,Under Construction
1158,Telangana,Hyderabad,Satellite,Penthouse,4,1849,198.74,10748.51,2011,,8.0,9,13,7.0,0,4,2,Gated,Pool,North-East,Builder,Available
1159,Maharashtra,Mumbai,Whitefield,Apartment,3,1212,159.16,13132.01,1996,Semi-Furnished,9.0,17,28,7.0,5,7,0,None,All,North,Agent,Under Construction
1160,Telangana,Karimnagar,Jubilee Hills,House,3,1532,85.27,5565.93,1993,Fully Furnished,0.0,5,31,2.0,2,4,1,None,Pool,North-East,Individual,Under Construction
1161,Gujarat,Ahmedabad,Jubilee Hills,Apartment,2,841,65.6,7800.24,2002,Semi-Furnished,,23,22,2.0,1,2,1,CCTV,All,East,Individual,Available
1162,Karnataka,Hubli,Electronic City,House,2,892,50.46,5656.95,2011,Semi-Furnished,21.0,27,13,8.0,1,7,0,None,None,West,Builder,Available
1163,Rajasthan,Jodhpur,Indiranagar,Apartment,4,1649,74.02,4488.78,2004,Fully Furnished,3.0,9,20,6.0,1,6,0,Guard,Clubhouse,South-West,Builder,Available
1164,Karnataka,Bangalore,Satellite,Apartment,5,2247,221.38,9852.25,2016,Unfurnished,8.0,14,8,6.0,2,1,2,None,All,East,Builder,Available
1165,West Bengal,Howrah,HSR Layout,House,4,1889,212.03,11224.46,1992,Fully Furnished,13.0,19,32,8.0,3,6,0,Guard,Gym+Pool,West,Agent,Available
1166,Tamil Nadu,Coimbatore,Gachibowli,Villa,5,2317,106.63,4602.07,2018,Unfurnished,21.0,23,6,3.0,0,7,3,Guard,All,South,Agent,Under Construction
1167,West Bengal,Howrah,Gomti Nagar,Apartment,3,1322,120.46,9111.95,2014,Semi-Furnished,21.0,29,10,7.0,2,4,1,Guard,Pool,West,Agent,Under Construction
1168,Tamil Nadu,Chennai,Indiranagar,Apartment,3,1367,94.98,6948.06,1996,Fully Furnished,22.0,23,28,7.0,1,5,1,None,All,North-East,Individual,Available
1169,Delhi,Rohini,Gachibowli,Apartment,2,850,82.22,9672.94,1996,Unfurnished,6.0,11,28,0.0,1,4,2,None,All,South,Individual,Available
1170,Tamil Nadu,Coimbatore,HSR Layout,Apartment,4,2033,172.33,8476.64,2021,Unfurnished,18.0,22,3,,4,3,0,None,None,South,Agent,Available
1171,Rajasthan,Jaipur,Satellite,Apartment,3,1162,134.33,11560.24,2018,Unfurnished,4.0,7,6,2.0,3,7,3,Gated,None,South-West,Agent,Sold
1172,Gujarat,Vadodara,Salt Lake,Apartment,5,2157,248.48,11519.7,1990,Unfurnished,6.0,7,34,2.0,1,7,2,None,None,South-West,Agent,Sold
1173,Delhi,Dwarka,HSR Layout,Villa,2,717,67.91,9471.41,1997,Fully Furnished,14.0,15,27,9.0,6,1,0,CCTV,None,South-West,Builder,Under Construction
1174,Karnataka,Mysore,Electronic City,Penthouse,3,1562,148.28,9492.96,1993,Unfurnished,22.0,23,31,2.0,0,2,0,None,Gym+Pool,North-East,Individual,Available
1175,Tamil Nadu,Madurai,Indiranagar,House,4,1848,118.38,6405.84,2000,Unfurnished,21.0,25,24,,4,6,3,None,Clubhouse,West,Builder,Available
1176,Tamil Nadu,Madurai,Banjara Hills,Apartment,3,1179,116.01,9839.69,2011,Fully Furnished,3.0,6,13,1.0,4,1,1,Guard,Clubhouse,North-East,Agent,Available
1177,Gujarat,Surat,Andheri,Apartment,3,1570,95.65,6092.36,2008,Fully Furnished,11.0,16,16,9.0,0,6,3,None,Pool,,Builder,Available
1178,Rajasthan,Jaipur,Whitefield,Apartment,4,1586,78.83,4970.37,2004,Unfurnished,20.0,21,20,6.0,2,2,3,CCTV,Gym,East,Individual,Available
1179,Gujarat,Vadodara,Koramangala,Apartment,2,843,88.35,10480.43,2013,Semi-Furnished,8.0,9,11,1.0,0,4,1,Gated,Clubhouse,West,Builder,Under Construction
1180,Delhi,New Delhi,Gachibowli,Villa,4,1717,174.75,10177.64,2009,Semi-Furnished,20.0,28,15,5.0,2,2,0,Guard,Clubhouse,South-West,Builder,Available
1181,Gujarat,Surat,Kondapur,Apartment,3,1421,70.29,4946.52,1993,Fully Furnished,22.0,27,31,,5,6,2,Guard,Gym+Pool,East,Agent,Sold
1182,Rajasthan,Udaipur,Gachibowli,Apartment,3,1054,77.16,7320.68,2015,Semi-Furnished,2.0,7,9,8.0,7,6,3,CCTV,None,North-East,Individual,Sold
1183,West Bengal,Kolkata,Indiranagar,Apartment,3,1567,149.92,9567.33,1991,,3.0,9,33,6.0,6,7,2,Guard,Gym,North-East,Agent,Sold
1184,Gujarat,Surat,HSR Layout,Villa,5,2334,279.3,11966.58,2004,Fully Furnished,11.0,16,20,4.0,4,7,0,CCTV,Pool,South-West,Individual,Available
1185,Rajasthan,Udaipur,Powai,Apartment,1,650,53.34,8206.15,2013,Unfurnished,,10,11,8.0,3,1,1,Guard,Gym,East,Builder,Under Construction
1186,Delhi,Dwarka,Kondapur,Apartment,4,1963,138.64,7062.66,1995,,4.0,9,29,0.0,7,2,2,None,Gym+Pool,West,Agent,Under Construction
1187,Maharashtra,Mumbai,Kondapur,Villa,2,956,168.58,17633.89,1991,Semi-Furnished,14.0,21,33,4.0,4,7,0,CCTV,Gym,South,Individual,Under Construction
1188,Rajasthan,Jodhpur,Satellite,Villa,2,990,104.57,10562.63,2009,Unfurnished,17.0,26,15,7.0,4,5,0,Gated,,East,Agent,Under Construction
1189,Gujarat,Surat,HSR Layout,Apartment,4,1643,111.49,6785.76,2018,Semi-Furnished,1.0,8,6,0.0,4,5,2,None,Gym+Pool,North-East,Individual,Available
1190,Gujarat,Surat,Satellite,Villa,4,1827,122.94,6729.06,1990,Semi-Furnished,15.0,16,34,2.0,4,8,3,None,Clubhouse,North-East,Builder,Available
1191,Karnataka,Mysore,Salt Lake,Apartment,1,423,44.35,10484.63,2004,Unfurnished,13.0,22,20,4.0,5,7,1,None,Gym+Pool,North-East,Agent,Available
1192,Tamil Nadu,Chennai,Powai,House,4,1691,95.11,5624.48,1997,Unfurnished,11.0,13,27,1.0,0,5,0,Guard,None,South-West,Builder,Available
1193,Delhi,Dwarka,Koramangala,Apartment,5,2094,130.22,6218.72,1996,Semi-Furnished,8.0,16,28,8.0,6,8,3,CCTV,Gym+Pool,South-West,Agent,Under Construction
1194,Tamil Nadu,Coimbatore,Satellite,Apartment,3,1525,84.85,5563.93,1990,,16.0,19,34,0.0,7,3,2,CCTV,Clubhouse,South-West,Individual,Available
1195,Gujarat,Ahmedabad,HSR Layout,Villa,3,1428,87.21,6107.14,2001,,17.0,20,23,4.0,3,5,3,Guard,,South,Agent,Under Construction
1196,Delhi,Dwarka,Andheri,Studio,1,408,25.64,6284.31,2004,Fully Furnished,10.0,19,20,6.0,0,7,0,None,None,North-East,Individual,Sold
1197,Karnataka,Mysore,Whitefield,Apartment,4,1592,91.73,5761.93,1998,Semi-Furnished,5.0,12,26,9.0,0,3,1,Gated,Gym+Pool,West,Builder,Sold
1198,Tamil Nadu,Madurai,Electronic City,Apartment,4,1814,173.94,9588.75,2021,Unfurnished,3.0,12,3,0.0,0,5,0,CCTV,Clubhouse,,Builder,Available
1199,Delhi,Rohini,Powai,Villa,4,1694,151.64,8951.59,2021,Unfurnished,19.0,22,3,1.0,4,4,0,CCTV,Gym,West,Builder,Under Construction
1200,Karnataka,Bangalore,Jubilee Hills,Villa,2,1047,105.14,10042.02,2018,Fully Furnished,2.0,9,6,3.0,2,6,1,Guard,Pool,South,Agent,Sold
1201,Maharashtra,Pune,Jubilee Hills,Apartment,3,1227,51.83,4224.12,2016,Unfurnished,,20,8,9.0,2,9,1,None,Gym+Pool,East,Individual,Under Construction
1202,Telangana,Hyderabad,Kondapur,House,4,1694,262.4,15489.96,2019,Semi-Furnished,17.0,20,5,8.0,5,7,2,Guard,Clubhouse,,Agent,Under Construction
1203,Tamil Nadu,Madurai,Jubilee Hills,Apartment,1,395,28.25,7151.9,2000,Semi-Furnished,9.0,12,24,6.0,4,4,0,CCTV,Clubhouse,South-West,Builder,Under Construction
1204,Tamil Nadu,Madurai,Banjara Hills,Apartment,2,824,39.13,4748.79,1994,Fully Furnished,15.0,24,30,2.0,1,4,1,CCTV,All,South,Agent,Sold
1205,Delhi,New Delhi,Banjara Hills,Apartment,4,1840,112.13,6094.02,2001,Unfurnished,9.0,17,23,7.0,4,3,1,None,,South-West,Builder,Under Construction
1206,Rajasthan,Udaipur,Gachibowli,House,2,698,77.63,11121.78,1994,Unfurnished,23.0,32,30,8.0,5,5,1,Gated,All,East,Individual,Available
1207,Rajasthan,Jaipur,Thane,Studio,3,1423,164.33,11548.14,2013,Unfurnished,7.0,8,11,4.0,1,5,1,None,,West,Agent,Available
1208,Tamil Nadu,Madurai,Kondapur,Villa,3,1104,56.63,5129.53,2015,Fully Furnished,15.0,20,9,,5,9,2,Gated,Pool,East,Builder,Available
1209,Gujarat,Surat,Koramangala,Penthouse,2,805,88.19,10955.28,2012,Semi-Furnished,18.0,19,12,3.0,1,4,3,Guard,Pool,East,Individual,Available
1210,Rajasthan,Jaipur,Indiranagar,Apartment,2,853,32.74,3838.22,1999,Semi-Furnished,7.0,14,25,9.0,4,4,1,CCTV,Pool,North,Individual,Available
1211,Tamil Nadu,Coimbatore,Banjara Hills,House,2,752,26.53,3527.93,1995,Semi-Furnished,21.0,23,29,3.0,0,1,0,CCTV,,North,Builder,Sold
1212,Delhi,Rohini,Andheri,House,2,716,28.93,4040.5,1993,Unfurnished,16.0,22,31,4.0,0,9,3,CCTV,Pool,South-West,Individual,Under Construction
1213,Rajasthan,Jodhpur,Salt Lake,Apartment,2,1075,92.45,8600.0,1994,Unfurnished,21.0,23,30,3.0,6,4,3,Gated,Pool,North-East,Agent,Sold
1214,Karnataka,Bangalore,Indiranagar,Apartment,3,1403,133.98,9549.54,2000,Semi-Furnished,13.0,21,24,6.0,2,1,0,Gated,Gym,South-West,Builder,Available
1215,Delhi,New Delhi,Salt Lake,Apartment,2,786,107.84,13720.1,1997,Semi-Furnished,1.0,8,27,9.0,4,9,2,CCTV,All,West,Individual,Available
1216,West Bengal,Kolkata,Gachibowli,Apartment,2,872,57.84,6633.03,2010,Unfurnished,20.0,22,14,4.0,0,5,2,Guard,Pool,South,Builder,Available
1217,Telangana,Warangal,Satellite,Penthouse,2,1084,53.31,4917.9,2020,Semi-Furnished,1.0,3,4,6.0,1,3,0,Gated,None,,Individual,Available
1218,Delhi,Dwarka,Koramangala,Villa,4,1758,128.8,7326.51,2020,Unfurnished,11.0,12,4,9.0,3,9,1,Gated,Clubhouse,East,Builder,Under Construction
1219,Tamil Nadu,Madurai,Salt Lake,Apartment,5,2246,192.61,8575.69,1993,Semi-Furnished,1.0,10,31,5.0,6,9,0,Gated,All,North-East,Individual,Under Construction
